project_start,project_finish,week_start,plan,actual
2026/3/01,2027/8/31,2026/2/06,0.00,0.00
2026/3/01,2027/8/31,2026/2/13,0.00,0.00
2026/3/01,2027/8/31,2026/2/20,0.00,0.00
2026/3/01,2027/8/31,2026/2/27,0.00,0.00
2026/3/01,2027/8/31,2026/3/06,0.01,0.00
2026/3/01,2027/8/31,2026/3/13,0.03,0.00
2026/3/01,2027/8/31,2026/3/20,0.05,0.00
2026/3/01,2027/8/31,2026/3/27,0.07,0.00
2026/3/01,2027/8/31,2026/4/03,0.41,0.01
2026/3/01,2027/8/31,2026/4/10,1.07,0.02
2026/3/01,2027/8/31,2026/4/17,1.88,0.03
2026/3/01,2027/8/31,2026/4/24,2.71,0.05
2026/3/01,2027/8/31,2026/5/01,3.62,0.07
2026/3/01,2027/8/31,2026/5/08,4.52,0.08
2026/3/01,2027/8/31,2026/5/15,5.41,0.10
2026/3/01,2027/8/31,2026/5/22,6.90,0.11
2026/3/01,2027/8/31,2026/5/29,8.51,0.12
2026/3/01,2027/8/31,2026/6/05,10.35,0.14
2026/3/01,2027/8/31,2026/6/12,12.37,0.16
2026/3/01,2027/8/31,2026/6/19,14.61,0.18
2026/3/01,2027/8/31,2026/6/26,17.94,0.18
2026/3/01,2027/8/31,2026/7/03,21.31,0.00
2026/3/01,2027/8/31,2026/7/10,24.38,0.00
2026/3/01,2027/8/31,2026/7/17,27.58,0.00
2026/3/01,2027/8/31,2026/7/24,30.07,0.00
2026/3/01,2027/8/31,2026/7/31,32.52,0.00
2026/3/01,2027/8/31,2026/8/07,35.24,0.00
2026/3/01,2027/8/31,2026/8/14,38.06,0.00
2026/3/01,2027/8/31,2026/8/21,41.38,0.00
2026/3/01,2027/8/31,2026/8/28,44.58,0.00
2026/3/01,2027/8/31,2026/9/04,48.53,0.00
2026/3/01,2027/8/31,2026/9/11,51.74,0.00
2026/3/01,2027/8/31,2026/9/18,54.95,0.00
2026/3/01,2027/8/31,2026/9/25,58.21,0.00
2026/3/01,2027/8/31,2026/10/02,60.95,0.00
2026/3/01,2027/8/31,2026/10/09,63.35,0.00
2026/3/01,2027/8/31,2026/10/16,65.85,0.00
2026/3/01,2027/8/31,2026/10/23,68.42,0.00
2026/3/01,2027/8/31,2026/10/30,70.34,0.00
2026/3/01,2027/8/31,2026/11/06,72.57,0.00
2026/3/01,2027/8/31,2026/11/13,74.22,0.00
2026/3/01,2027/8/31,2026/11/20,76.75,0.00
2026/3/01,2027/8/31,2026/11/27,78.89,0.00
2026/3/01,2027/8/31,2026/12/04,81.72,0.00
2026/3/01,2027/8/31,2026/12/11,84.96,0.00
2026/3/01,2027/8/31,2026/12/18,87.29,0.00
2026/3/01,2027/8/31,2026/12/25,89.09,0.00
2026/3/01,2027/8/31,2027/1/01,90.91,0.00
2026/3/01,2027/8/31,2027/1/08,91.99,0.00
2026/3/01,2027/8/31,2027/1/15,92.69,0.00
2026/3/01,2027/8/31,2027/1/22,93.47,0.00
2026/3/01,2027/8/31,2027/1/29,93.91,0.00
2026/3/01,2027/8/31,2027/2/05,95.29,0.00
2026/3/01,2027/8/31,2027/2/12,96.18,0.00
2026/3/01,2027/8/31,2027/2/19,97.04,0.00
2026/3/01,2027/8/31,2027/2/26,97.90,0.00
2026/3/01,2027/8/31,2027/3/05,98.54,0.00
2026/3/01,2027/8/31,2027/3/12,99.18,0.00
2026/3/01,2027/8/31,2027/3/19,99.59,0.00
2026/3/01,2027/8/31,2027/3/26,100.00,0.00
2026/3/01,2027/8/31,2027/4/02,100.00,0.00
2026/3/01,2027/8/31,2027/4/09,100.00,0.00
2026/3/01,2027/8/31,2027/4/16,100.00,0.00
2026/3/01,2027/8/31,2027/4/23,100.00,0.00
2026/3/01,2027/8/31,2027/4/30,100.00,0.00
2026/3/01,2027/8/31,2027/5/07,100.00,0.00
2026/3/01,2027/8/31,2027/5/14,100.00,0.00
2026/3/01,2027/8/31,2027/5/21,100.00,0.00
2026/3/01,2027/8/31,2027/5/28,100.00,0.00
2026/3/01,2027/8/31,2027/6/04,100.00,0.00
2026/3/01,2027/8/31,2027/6/11,100.00,0.00
2026/3/01,2027/8/31,2027/6/18,100.00,0.00
2026/3/01,2027/8/31,2027/6/25,100.00,0.00
2026/3/01,2027/8/31,2027/7/02,100.00,0.00
2026/3/01,2027/8/31,2027/7/09,100.00,0.00
2026/3/01,2027/8/31,2027/7/16,100.00,0.00
2026/3/01,2027/8/31,2027/7/23,100.00,0.00
2026/3/01,2027/8/31,2027/7/30,100.00,0.00
2026/3/01,2027/8/31,2027/8/06,100.00,0.00
